,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
670,2021-02-06,WhosImmortal,501,97840,3713.0,982.0,Call of Duty: Warzone
671,2021-02-14,CRIPER,759,94334,5307.0,300.0,Call of Duty: Warzone
672,2021-02-13,WhosImmortal,576,89640,3905.0,631.0,Call of Duty: Warzone
673,2021-02-12,WhosImmortal,635,83023,3822.0,685.0,Call of Duty: Warzone
674,2021-02-09,Get Hyped Gaming,124,84083,936.0,130.0,Call of Duty: Warzone
675,2021-02-20,WhosImmortal,528,79324,4103.0,526.0,Call of Duty: Warzone
676,2021-02-04,Ali Al Hakim,561,76362,533.0,107.0,Call of Duty: Warzone
677,2021-02-08,WhosImmortal,518,72035,4365.0,684.0,Call of Duty: Warzone
678,2021-02-17,Kitten Chaos,20,67778,1086.0,222.0,Call of Duty: Warzone
679,2021-02-07,GTX 1050 Ti,777,61199,1651.0,129.0,Call of Duty: Warzone
680,2021-02-27,The Esports Club(TEC),19628,54952,3580.0,12.0,Call of Duty: Warzone
681,2021-02-08,Tripulante,1459,46261,1124.0,66.0,Call of Duty: Warzone
682,2021-02-19,MaoCheats,420,44179,341.0,7683.0,Call of Duty: Warzone
683,2021-02-06,Jamzzy,55,44190,1961.0,144.0,Call of Duty: Warzone
684,2021-02-03,Reflex,402,39137,1198.0,356.0,Call of Duty: Warzone
685,2021-02-03,402THUNDER402,683,37318,3002.0,607.0,Call of Duty: Warzone
686,2021-02-01,Apollo432,396,35409,1465.0,62.0,Call of Duty: Warzone
687,2021-02-24,Crestongames,532,31117,767.0,77.0,Call of Duty: Warzone
688,2021-02-24,FaZe Santana,1280,27399,935.0,58.0,Call of Duty: Warzone
689,2021-02-01,VarsityGaming,1762,26613,1741.0,144.0,Call of Duty: Warzone
690,2021-02-13,Tech Imperium,921,25644,245.0,61.0,Call of Duty: Warzone
691,2021-02-11,ForceVO,131,24296,701.0,216.0,Call of Duty: Warzone
692,2021-02-04,TroubleChute,312,23221,117.0,14.0,Call of Duty: Warzone
693,2021-02-25,You Mashub,812,20797,723.0,403.0,Call of Duty: Warzone
694,2021-02-08,Apollo432,541,18828,1032.0,64.0,Call of Duty: Warzone
695,2021-02-23,Can You Run It?,110,18941,310.0,0.0,Call of Duty: Warzone
696,2021-02-21,Tech Imperium,847,17524,192.0,94.0,Call of Duty: Warzone
697,2021-02-26,Yuriko-Chan,58,17074,116.0,12.0,Call of Duty: Warzone
698,2021-02-17,Dan Allen Gaming,778,16343,462.0,132.0,Call of Duty: Warzone
699,2021-02-25,RangerDave,1023,15613,635.0,49.0,Call of Duty: Warzone
700,2021-02-06,Df Winner,607,14856,1610.0,225.0,Call of Duty: Warzone
701,2021-02-09,Gabo Rumbos,435,14772,791.0,144.0,Call of Duty: Warzone
702,2021-02-20,TE Benchmark - TechEpiphany Clips,167,14380,63.0,76.0,Call of Duty: Warzone
703,2021-02-17,DeadRig,421,13780,302.0,48.0,Call of Duty: Warzone
704,2021-02-16,BobbyPoffGaming,781,13305,649.0,93.0,Call of Duty: Warzone
705,2021-02-03,TesteBarri,779,12987,170.0,63.0,Call of Duty: Warzone
706,2021-03-10,Soki,790,719741,31606.0,594.0,Call of Duty: Warzone
707,2021-03-15,Денис Карамышев,952,670340,31967.0,588.0,Call of Duty: Warzone
