,unnamed: 0.1,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
7931,135,2021-07-12,Skooch,1312.0,588413,33322.0,4618.0,League of Legends
7932,136,2021-07-15,League of Legends,122.0,580882,24728.0,870.0,League of Legends
7933,137,2021-07-23,Pianta,426.0,573913,26874.0,386.0,League of Legends
7934,138,2021-07-07,League of Legends Latinoamerica,141.0,568568,31450.0,2035.0,League of Legends
7935,139,2021-07-09,League of Legends: Wild Rift,103.0,567859,19524.0,1838.0,League of Legends
7936,140,2021-07-20,SkinSpotlights,181.0,557460,10189.0,894.0,League of Legends
7937,141,2021-07-30,Tobias Fate,485.0,532782,29574.0,671.0,League of Legends
7938,142,2021-07-07,SkinSpotlights,244.0,529249,11809.0,833.0,League of Legends
7939,143,2021-07-02,League of Legends,398.0,513735,23279.0,2206.0,League of Legends
7940,144,2021-07-20,SkinSpotlights,178.0,482363,10092.0,967.0,League of Legends
7941,145,2021-07-05,SkinSpotlights,333.0,464766,6175.0,511.0,League of Legends
7942,146,2021-07-08,Memeify,68.0,459725,33578.0,1020.0,League of Legends
7943,147,2021-07-29,League of Legends,109.0,445666,15820.0,901.0,League of Legends
7944,148,2021-07-22,League of Legends,88.0,413676,15226.0,683.0,League of Legends
7945,149,2021-07-20,SkinSpotlights,174.0,392239,6664.0,452.0,League of Legends
7946,150,2021-07-12,Remus,116.0,374379,7871.0,545.0,League of Legends
7947,151,2021-07-05,SkinSpotlights,371.0,361674,4232.0,196.0,League of Legends
7948,152,2021-07-05,SkinSpotlights,393.0,354358,4699.0,188.0,League of Legends
7949,153,2021-07-30,T B Skyen,1788.0,348314,26771.0,1982.0,League of Legends
7950,154,2021-07-05,SkinSpotlights,384.0,339091,5247.0,424.0,League of Legends
